date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:53	352/352	---MCZ	200	added ('OK')	text/plain	date:Sat,%2001%20Jun%202024%2014:40:52%20GMT	https://commentactiverwindows.wordpress.com/robots.txt		(from )
20:10:53	88550/88550	---MCZ	200	added ('OK')	text/html	date:Sat,%2001%20Jun%202024%2014:40:53%20GMT	https://commentactiverwindows.wordpress.com/	C:/My%20Web%20Sites/Windows7-Guide/commentactiverwindows.wordpress.com/index.html	(from )
20:10:54	16469/16469	---MCZ	200	added ('OK')	text/css	etag:W/16484-1716578174231.7524	https://s2.wp.com/wp-content/plugins/gutenberg-core/v18.4.1/build/block-library/blocks/navigation/style.css?m=1716578158i&cssminify=yes	C:/My%20Web%20Sites/Windows7-Guide/s2.wp.com/wp-content/plugins/gutenberg-core/v18.4.1/build/block-library/blocks/navigation/style7204.css	(from https://commentactiverwindows.wordpress.com/)
20:10:54	30674/30674	---MCZ	200	added ('OK')	application/rss+xml	date:Sat,%2001%20Jun%202024%2014:40:53%20GMT	https://commentactiverwindows.wordpress.com/feed/	C:/My%20Web%20Sites/Windows7-Guide/commentactiverwindows.wordpress.com/feed/index.html	(from https://commentactiverwindows.wordpress.com/)
20:10:54	904/904	---MCZ	200	added ('OK')	application/rss+xml	etag:W/%22d9acf103b4306ec729e1918b1ec0604f%22	https://commentactiverwindows.wordpress.com/comments/feed/	C:/My%20Web%20Sites/Windows7-Guide/commentactiverwindows.wordpress.com/comments/feed/index.html	(from https://commentactiverwindows.wordpress.com/)
20:10:54	369/369	---M--	200	added ('OK')	text/css	etag:%226466d548-171%22	https://s1.wp.com/_static/??/wp-content/mu-plugins/core-compat/wp-mediaelement.css,/wp-content/mu-plugins/wpcom-bbpress-premium-themes.css?m=1432920480j&cssminify=yes	C:/My%20Web%20Sites/Windows7-Guide/s1.wp.com/_static/indexd02a.html	(from https://commentactiverwindows.wordpress.com/)
20:10:54	311/311	---M--	200	added ('OK')	text/css	etag:W/471-1684461197956.71	https://s2.wp.com/wp-content/themes/h4/global.css?m=1420737423i&cssminify=yes	C:/My%20Web%20Sites/Windows7-Guide/s2.wp.com/wp-content/themes/h4/globalf753.css	(from https://commentactiverwindows.wordpress.com/)
20:10:55	930/930	---MCZ	200	added ('OK')	text/xml	date:Sat,%2001%20Jun%202024%2014:40:54%20GMT	https://commentactiverwindows.wordpress.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/Windows7-Guide/commentactiverwindows.wordpress.com/xmlrpc0db0.php	(from https://commentactiverwindows.wordpress.com/)
20:10:55	6211/6211	---M--	200	added ('OK')	image/png	etag:%2266278e2f-1843%22	https://s2.wp.com/i/webclip.png	C:/My%20Web%20Sites/Windows7-Guide/s2.wp.com/i/webclip.png	(from https://commentactiverwindows.wordpress.com/)
20:10:55	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2001%20Jun%202024%2014:40:55%20GMT	http://0.gravatar.com/js/hovercards/hovercards.min.js?ver=2024224d47d929f88574eb4a47e5b1778b683b87e7f6078bb6a33f34c1178752e83406	C:/My%20Web%20Sites/Windows7-Guide/0.gravatar.com/js/hovercards/hovercards.min.547d9.delayed	(from https://commentactiverwindows.wordpress.com/)
